No,Title,Acceptance,Difficulty,Frequency,Array,Breadth-First Search,Matrix,Backtracking,Bit Manipulation,Enumeration
1210,Minimum Moves to Reach Target with Rotations,49.5%,Hard,0,1,1,1,0,0,0
2212,Maximum Points in an Archery Competition,49.7%,Medium,0,1,0,0,1,1,1
