No,Title,Acceptance,Frequency,Hard,Medium,Array,Binary Search,Breadth-First Search,Union Find,Matrix,Queue,Simulation
2812,Find the Safest Path in a Grid,31.0%,2.7236066822231897,0,1,1,1,1,1,1,0,0
2534,Time Taken to Cross the Door,50.9%,1.3618033411115948,1,0,1,0,0,0,0,1,1
