No,Title,Acceptance,Difficulty,Frequency,String,Stack,Hash Table,Linked List,Design,Doubly-Linked List
146,LRU Cache,42.2%,Medium,0.0158416669828879,0,0,1.0,1.0,1.0,1.0
20,Valid Parentheses,40.5%,Easy,0.0079208334914439,1,1,,,,
