No,Title,Acceptance,Difficulty,Frequency,String,Stack,Array,Hash Table,Breadth-First Search,Math,Binary Search,Matrix,Interactive,Divide and Conquer,Tree,Depth-First Search,Union Find,Graph,Shortest Path,Queue,Sliding Window,Heap (Priority Queue),Ordered Set,Monotonic Queue,Sorting,Prefix Sum,Topological Sort,Dynamic Programming,Eulerian Circuit,Backtracking,Trie,Bucket Sort,Counting,Recursion,Bit Manipulation,Greedy,Randomized,Design,Two Pointers,Monotonic Stack,Binary Search Tree,Binary Tree,Linked List,Doubly-Linked List,String Matching,Hash Function
815,Bus Routes,48.2%,Hard,2.50493659445441,0,0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,Find the Closest Palindrome,22.2%,Hard,1.9320451089181416,1,0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468,Split Message Based on Limit,43.5%,Hard,1.9317589695090704,1,0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1428,Leftmost Column with at Least a One,54.2%,Medium,1.7434408919572473,0,0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,Construct Quad Tree,75.3%,Medium,1.6326947745983675,0,0,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,Sentence Similarity II,49.7%,Medium,1.4384801142904609,1,0,1.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,Evaluate Division,61.5%,Medium,0.8655886287541927,0,0,1.0,,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1438,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,49.1%,Medium,0.7407752295491999,0,0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
2251,Number of Flowers in Full Bloom,56.8%,Hard,0.4183685129440722,0,0,1.0,1.0,,,1.0,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
1631,Path With Minimum Effort,59.4%,Medium,0.3860812412871159,0,0,1.0,,1.0,,1.0,1.0,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2115,Find All Possible Recipes from Given Supplies,49.4%,Medium,0.3610133455373305,1,0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
343,Integer Break,60.2%,Medium,0.3242396681855785,0,0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
1092,Shortest Common Supersequence,59.0%,Hard,0.2738067259581638,1,0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
953,Verifying an Alien Dictionary,54.9%,Easy,0.2113090936672069,1,0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Reconstruct Itinerary,43.3%,Hard,0.2110603993112869,0,0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
1,Two Sum,52.0%,Easy,0.2012877413745175,0,0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2610,Convert an Array Into a 2D Array With Conditions,87.3%,Medium,0.1957445771260953,0,0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Word Search II,36.2%,Hard,0.1762359822583867,1,0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
692,Top K Frequent Words,57.8%,Medium,0.1728428128394108,1,0,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,
802,Find Eventual Safe States,62.2%,Medium,0.1622986409188468,0,0,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
1922,Count Good Numbers,43.9%,Medium,0.1353413478697621,0,0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
79,Word Search,41.4%,Medium,0.1334198788245743,1,0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
931,Minimum Falling Path Sum,64.7%,Medium,0.1304779551376322,0,0,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
1009,Complement of Base 10 Integer,60.8%,Easy,0.1188340079023584,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
279,Perfect Squares,54.7%,Medium,0.1147388932751553,0,0,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
1207,Unique Number of Occurrences,77.0%,Easy,0.1061065059945477,0,0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Jump Game,38.5%,Medium,0.1013011147196092,0,0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,
528,Random Pick with Weight,46.6%,Medium,0.0946332080984526,0,0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,
981,Time Based Key-Value Store,49.6%,Medium,0.0946332080984526,1,0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
417,Pacific Atlantic Water Flow,55.1%,Medium,0.0913877515894286,0,0,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Number of Islands,58.5%,Medium,0.085522173438162,0,0,1.0,,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Generate Parentheses,74.2%,Medium,0.0836870723730897,1,0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
5,Longest Palindromic Substring,33.7%,Medium,0.0834094443206063,1,0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
658,Find K Closest Elements,47.2%,Medium,0.083381608939051,0,0,1.0,,,,1.0,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,
42,Trapping Rain Water,60.8%,Hard,0.0829921334278095,0,1,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,
230,Kth Smallest Element in a BST,72.2%,Medium,0.0760501461188526,0,0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
88,Merge Sorted Array,49.2%,Easy,0.0711059563535144,0,0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,
300,Longest Increasing Subsequence,55.0%,Medium,0.0655256184467973,0,0,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
228,Summary Ranges,50.3%,Easy,0.0648525421795612,0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,LRU Cache,42.2%,Medium,0.0642619342183691,0,0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,
4,Median of Two Sorted Arrays,39.4%,Hard,0.0606476084726819,0,0,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Plus One,45.0%,Easy,0.0580293314688701,0,0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,Single Element in a Sorted Array,59.0%,Medium,0.0542138165941474,0,0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,Subtree of Another Tree,47.6%,Easy,0.0539942205767367,0,0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0
189,Rotate Array,40.3%,Medium,0.051959738930711,0,0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
278,First Bad Version,44.2%,Easy,0.0502618347808882,0,0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Find Peak Element,45.9%,Medium,0.0476028527737248,0,0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Best Time to Buy and Sell Stock,53.5%,Easy,0.0452238391734461,0,0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
229,Majority Element II,51.2%,Medium,0.0418033698043605,0,0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,
1512,Number of Good Pairs,88.9%,Easy,0.041242958534049,0,0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
14,Longest Common Prefix,42.4%,Easy,0.0407077319551439,1,0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
424,Longest Repeating Character Replacement,53.5%,Medium,0.0399254624091838,1,0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
217,Contains Duplicate,61.4%,Easy,0.0398558354356662,0,0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
202,Happy Number,55.9%,Easy,0.0330608622608881,0,0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
207,Course Schedule,46.6%,Medium,0.0306537410910024,0,0,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
7,Reverse Integer,28.4%,Medium,0.0293658948043644,0,0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Search Insert Position,45.5%,Easy,0.0287101058824313,0,0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,Find the Duplicate Number,59.4%,Medium,0.0277795641070757,0,0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,
