No,Title,Acceptance,Frequency,Medium,Array,Queue,Sliding Window,Heap (Priority Queue),Ordered Set,Monotonic Queue,Two Pointers,Binary Search,Sorting,Depth-First Search,Breadth-First Search,Matrix,Graph,Topological Sort
1438,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,49.1%,0.1622099525857069,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
475,Heaters,37.6%,0.1487417355348403,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0
417,Pacific Atlantic Water Flow,55.1%,0.0887500039126699,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0
207,Course Schedule,46.6%,0.0287582722904996,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1
