No,Title,Acceptance,Frequency,Medium,Hash Table,Linked List,Design,Doubly-Linked List,String,Binary Search
146,LRU Cache,42.2%,0.1747836442300196,1,1,1,1,1,0,0
981,Time Based Key-Value Store,49.6%,0.0873918221150098,1,1,0,1,0,1,1
