No,Title,Acceptance,Frequency,Hard,Medium,Array,Greedy,Matrix,Prefix Sum,Hash Table,Linked List,Design,Doubly-Linked List
2132,Stamping the Grid,32.2%,0.2230721954039521,1,0,1,1,1,1,0,0,0,0
146,LRU Cache,42.2%,0.111536097701976,0,1,0,0,0,0,1,1,1,1
