No,Title,Acceptance,Frequency,Medium,Array,Hash Table,Design,Simulation,Depth-First Search,Breadth-First Search,Union Find,Matrix
2043,Simple Bank System,64.3%,0.8385168604810005,1,1,1,1,1,0,0,0,0
695,Max Area of Island,71.9%,0.4192584302405002,1,1,0,0,0,1,1,1,1
