No,Title,Acceptance,Difficulty,Frequency,Array,Hash Table,Matrix,Simulation,Linked List,Design,Doubly-Linked List
1275,Find Winner on a Tic Tac Toe Game,54.0%,Easy,0.0387046428318224,1,1,1,1,0,0,0
146,LRU Cache,42.2%,Medium,0.0193523214159112,0,1,0,0,1,1,1
