No,Title,Acceptance,Frequency,Hard,Medium,Array,Backtracking,Bit Manipulation,Enumeration,Binary Search,Dynamic Programming,Tree,Depth-First Search,Binary Tree
2151,Maximum Good People Based on Statements,49.6%,0.0794357500920454,1,0,1,1,1,1,0,0,0,0,0
300,Longest Increasing Subsequence,55.0%,0.0441898110303706,0,1,1,0,0,0,1,1,0,0,0
124,Binary Tree Maximum Path Sum,39.9%,0.0352459390616747,1,0,0,0,0,0,0,1,1,1,1
