No,Title,Acceptance,Difficulty,Frequency,Array,Dynamic Programming,Breadth-First Search,Tree,Depth-First Search
559,Maximum Depth of N-ary Tree,72.0%,Easy,0.1308725167442087,0,0,1,1.0,1.0
322,Coin Change,43.6%,Medium,0.0654362583721043,1,1,1,,
