No,Title,Acceptance,Difficulty,Frequency,String,Hash Table,Linked List,Design,Doubly-Linked List
6,Zigzag Conversion,47.4%,Medium,0.112991411625292,1,0,0,0,0
146,LRU Cache,42.2%,Medium,0.056495705812646,0,1,1,1,1
