No,Title,Acceptance,Difficulty,Frequency,Array,Dynamic Programming,Enumeration
1335,Minimum Difficulty of a Job Schedule,59.6%,Hard,0,1,1,0
1534,Count Good Triplets,81.1%,Easy,0,1,0,1
