No,Title,Acceptance,Frequency,Hard,Medium,Array,Hash Table,Tree,Depth-First Search,Breadth-First Search,Design,Graph,Topological Sort
1993,Operations on Tree,45.5%,1.6558803962513935,0,1,1,1,1,1,1,1,0,0
2359,Find Closest Node to Given Two Nodes,45.6%,0.984584984910847,0,1,0,0,0,1,0,0,1,0
2360,Longest Cycle in a Graph,50.0%,0.6712954113405467,1,0,0,0,0,1,0,0,1,1
