No,Title,Acceptance,Difficulty,Frequency,String,Dynamic Programming,Array,Two Pointers,Binary Search,Greedy,Sorting
664,Strange Printer,55.0%,Hard,0,1,1,0,0,0,0,0
826,Most Profit Assigning Work,45.9%,Medium,0,0,0,1,1,1,1,1
